WardD	WardD2	complete	UPGMA	WPGMA
NA	NA	NA	NA	NA
0.1577	0.1557	0.1975	0.2023	0.1541
0.1335	0.1356	0.1797	0.1607	0.1252
0.1446	0.1469	0.107	0.154	0.1349
0.1134	0.1183	0.0987	0.1353	0.1289
0.1155	0.1189	0.0791	0.1307	0.1251
0.0994	0.1159	0.0959	0.1264	0.1237
0.1032	0.1048	0.0741	0.1251	0.1045
0.0906	0.0928	0.0734	0.1242	0.1045
0.0902	0.093	0.0723	0.1225	0.0955
0.0832	0.0891	0.0659	0.1109	0.089
0.0759	0.0858	0.0633	0.106	0.0881
0.075	0.0846	0.0617	0.0982	0.0786
0.0763	0.0773	0.0617	0.0946	0.0756
0.0749	0.0789	0.0647	0.0944	0.0743
0.0769	0.0772	0.0646	0.0934	0.0709
0.0705	0.0759	0.0622	0.0924	0.071
0.0624	0.0709	0.0605	0.0921	0.0681
0.0644	0.0724	0.0556	0.0864	0.0681
0.0641	0.0728	0.0537	0.0839	0.0666
0.0621	0.0727	0.0557	0.0771	0.0662
0.0617	0.0645	0.0554	0.0733	0.0654
0.0612	0.0658	0.0551	0.0729	0.0658
0.0616	0.0662	0.0549	0.0719	0.0646
0.0631	0.0669	0.0563	0.0787	0.0645
0.0636	0.0647	0.0529	0.0783	0.0677
0.0626	0.0641	0.0531	0.0773	0.0663
0.0642	0.064	0.0544	0.0761	0.0647
0.0635	0.062	0.0541	0.0759	0.0648
0.0652	0.0625	0.0522	0.0652	0.0636
0.0668	0.0642	0.0531	0.0642	0.0618
0.0648	0.0647	0.0531	0.0617	0.0614
0.066	0.0644	0.0532	0.065	0.0614
0.0654	0.0624	0.0557	0.064	0.06
0.0662	0.0628	0.0559	0.0638	0.06
0.0648	0.0637	0.0565	0.0635	0.0592
0.0629	0.0617	0.0551	0.063	0.0551
0.0612	0.062	0.0557	0.0624	0.0552
0.0622	0.0609	0.0554	0.0618	0.0552
0.0608	0.0595	0.0564	0.0605	0.0553
0.0609	0.0597	0.0558	0.0596	0.0553
0.0611	0.06	0.0552	0.0694	0.0555
0.0596	0.0604	0.0548	0.0686	0.0549
0.0599	0.0598	0.0557	0.0675	0.0541
0.0606	0.0604	0.0545	0.0672	0.0537
0.061	0.0612	0.0553	0.067	0.0544
0.0617	0.0605	0.0554	0.0665	0.0541
0.0611	0.0604	0.0528	0.0672	0.0538
0.061	0.0602	0.0518	0.0662	0.0536
0.0611	0.0608	0.0526	0.0647	0.0536
0.0609	0.0598	0.0524	0.0646	0.0533
0.0612	0.0601	0.0532	0.0655	0.0534
0.0593	0.0603	0.0531	0.0643	0.0534
0.0571	0.0603	0.0536	0.0639	0.0519
0.0578	0.0579	0.053	0.0628	0.0519
0.0578	0.0583	0.054	0.0599	0.0517
0.0573	0.0585	0.0543	0.0594	0.0513
0.0552	0.0588	0.0541	0.0587	0.0518
0.0549	0.0588	0.0541	0.0578	0.0526
0.0549	0.0586	0.0543	0.0572	0.0526
0.0541	0.0565	0.0544	0.0543	0.0525
0.0544	0.0565	0.0543	0.0527	0.0523
0.0549	0.0565	0.0535	0.0527	0.0509
0.0553	0.0572	0.0532	0.0523	0.0511
0.0558	0.0575	0.0533	0.0522	0.0508
0.0561	0.0569	0.0532	0.0524	0.0501
0.05	0.056	0.053	0.0527	0.051
0.0501	0.056	0.0532	0.0512	0.0502
0.0504	0.0562	0.0533	0.0517	0.0481
0.0511	0.0566	0.0533	0.0515	0.0491
0.0513	0.0565	0.0537	0.0526	0.0488
0.0513	0.0565	0.0537	0.0522	0.0488
0.0511	0.0571	0.054	0.0524	0.0486
0.0517	0.0571	0.0542	0.0524	0.049
0.0499	0.057	0.0542	0.0525	0.0493
0.0503	0.057	0.0541	0.0551	0.0493
0.0502	0.0568	0.0539	0.0548	0.0493
0.0507	0.0563	0.0537	0.0552	0.0496
0.0506	0.0567	0.0536	0.0544	0.0488
0.0512	0.0571	0.0537	0.0541	0.049
0.0484	0.0558	0.0538	0.0541	0.049
0.0485	0.0562	0.0533	0.0541	0.049
0.0488	0.0564	0.0529	0.0549	0.0488
0.0483	0.0567	0.052	0.0534	0.0486
0.048	0.0566	0.0521	0.0525	0.0486
0.048	0.0567	0.052	0.0518	0.0485
0.0483	0.0568	0.0518	0.0518	0.0485
0.0481	0.057	0.0511	0.0513	0.0483
0.0484	0.0573	0.0514	0.0514	0.0483
0.0476	0.0569	0.0521	0.0516	0.0483
0.0482	0.0567	0.0524	0.0512	0.048
0.0476	0.0566	0.0521	0.0507	0.0479
0.0481	0.0558	0.0521	0.0502	0.0479
0.0486	0.0563	0.0516	0.0509	0.0478
0.0485	0.0564	0.0519	0.0509	0.0482
0.0488	0.0566	0.052	0.0506	0.0478
0.0491	0.0567	0.0515	0.05	0.0479
0.0493	0.0564	0.0508	0.0501	0.0467
0.0498	0.0537	0.0511	0.05	0.0465
0.0491	0.0537	0.0513	0.0499	0.0461
0.0493	0.0539	0.0509	0.0475	0.0453
